playerID,yearID,teamID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SlugPct,OBP,BABIP,salary
blanche01,2002,ATL,81,221,17,45,9,1,6,22,0,2,20,51,5,1,2,5,5,0.204,0.335,0.267,0.231,1512500
blanche01,2003,ATL,55,151,11,30,8,0,1,13,0,0,10,21,2,1,3,1,3,0.199,0.272,0.252,0.223,1300000
blanche01,2004,MIN,114,315,36,65,19,1,10,37,0,3,21,56,0,3,11,3,8,0.206,0.368,0.26,0.218,750000
blanche01,2005,CHN,54,161,16,39,6,0,6,25,0,0,11,24,1,0,4,2,6,0.242,0.391,0.287,0.248,1200000
blanche01,2006,CHN,74,241,23,64,15,2,6,37,0,0,14,38,1,0,4,2,8,0.266,0.419,0.304,0.291,1500000
blanche01,2007,CHN,22,54,3,9,3,0,0,4,0,0,2,12,0,0,1,1,0,0.167,0.222,0.193,0.209,1775000
blanche01,2008,CHN,58,120,15,35,3,0,3,12,0,0,6,22,1,0,2,0,4,0.292,0.392,0.325,0.337,3175000
blanche01,2009,SDN,67,204,21,48,12,0,6,16,0,0,26,50,2,0,1,1,5,0.235,0.382,0.32,0.282,750000
blanche01,2010,NYN,50,130,10,28,5,0,2,8,1,0,11,26,2,0,0,3,1,0.215,0.3,0.271,0.248,750000
blanche01,2011,ARI,37,100,12,25,3,1,8,12,0,1,12,21,1,0,0,0,2,0.25,0.54,0.33,0.239,1000000
blanche01,2012,ARI,21,64,6,12,3,0,1,7,1,0,3,18,0,0,0,0,1,0.188,0.281,0.224,0.244,1250000
blanche01,2013,TOR,15,38,3,7,3,0,0,0,0,0,4,10,0,0,1,0,3,0.184,0.263,0.262,0.25,750000
blankky01,2013,SDN,88,280,31,68,14,0,8,35,1,1,21,85,1,5,0,2,2,0.243,0.379,0.305,0.317,605000
blantjo01,2009,PHI,31,55,4,7,0,0,0,1,0,0,4,21,0,1,9,0,0,0.127,0.127,0.2,0.206,5475000
blantjo01,2010,PHI,29,59,8,7,0,0,0,1,0,0,1,24,0,2,5,0,3,0.119,0.119,0.161,0.2,3000000
blantjo01,2011,PHI,11,11,1,2,0,0,0,2,0,0,0,3,0,0,1,0,0,0.182,0.182,0.182,0.25,10500000
blantjo01,2012,PHI,21,39,0,3,0,0,0,1,0,0,3,20,0,1,2,0,0,0.077,0.077,0.163,0.158,10500000
blantjo01,2013,LAA,28,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.167,0.167,0.167,0.25,6500000
bloomwi01,2006,SEA,102,251,36,62,6,2,1,15,16,3,24,40,0,4,2,2,3,0.247,0.299,0.32,0.288,650000
bloomwi01,2007,SEA,91,173,28,48,3,0,2,13,7,5,10,35,0,1,4,0,7,0.277,0.329,0.321,0.338,875000
bloomwi01,2008,SEA,71,165,32,46,1,0,0,9,14,3,25,29,1,1,1,0,1,0.279,0.285,0.377,0.338,1000000
bloomwi01,2009,KCA,125,434,52,115,11,8,4,29,25,6,27,73,1,1,4,2,7,0.265,0.355,0.308,0.309,1400000
bloomwi01,2010,KCA,72,170,31,45,10,1,3,17,8,5,8,25,0,0,2,1,4,0.265,0.388,0.296,0.294,1700000
bloomwi01,2011,ARI,97,350,44,93,10,2,4,26,20,10,23,51,3,4,2,2,3,0.266,0.34,0.317,0.3,900000
bloomwi01,2012,ARI,80,324,47,98,21,5,0,23,7,10,12,55,0,0,0,2,5,0.302,0.398,0.325,0.362,1900000
bloomwi01,2013,ARI,48,139,16,44,5,1,0,14,0,2,8,11,0,2,0,1,3,0.317,0.367,0.36,0.341,1900000
blumge01,2003,HOU,123,420,51,110,19,0,10,52,0,0,20,50,1,2,2,5,15,0.262,0.379,0.295,0.274,1500000
blumge01,2004,TBA,112,339,38,73,21,0,8,35,2,3,24,58,1,0,4,2,4,0.215,0.348,0.266,0.236,1500000
blumge01,2005,SDN,78,224,26,54,13,1,5,22,3,2,24,28,0,3,0,1,5,0.241,0.375,0.321,0.255,575000
blumge01,2006,SDN,109,276,27,70,17,1,4,34,0,1,17,51,1,0,2,4,5,0.254,0.366,0.293,0.293,650000
blumge01,2007,SDN,122,330,34,83,21,1,5,33,0,0,32,52,4,2,3,3,10,0.252,0.367,0.319,0.283,900000
blumge01,2008,HOU,114,325,36,78,14,1,14,53,1,2,21,54,2,3,0,7,5,0.24,0.418,0.287,0.242,1100000
blumge01,2009,HOU,120,381,34,94,14,1,10,49,0,1,33,61,4,7,0,6,9,0.247,0.367,0.314,0.266,1250000
blumge01,2010,HOU,93,202,22,54,10,1,2,22,0,0,15,33,2,1,0,0,3,0.267,0.356,0.321,0.311,1500000
blumge01,2011,ARI,23,49,8,11,3,0,2,10,0,0,5,9,1,1,0,0,2,0.224,0.408,0.309,0.237,1350000
blumge01,2012,ARI,17,28,1,4,0,0,0,1,0,0,2,7,0,0,0,1,0,0.143,0.143,0.194,0.182,1350000
boehrbr01,2000,SDN,7,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0.25,0.5,0.25,0.25,830000
boescbr01,2012,DET,132,470,52,113,22,2,12,54,6,3,26,104,1,5,0,2,11,0.24,0.372,0.286,0.284,502500
boescbr01,2013,NYA,23,51,6,14,2,1,3,8,0,0,2,9,0,0,0,0,2,0.275,0.529,0.302,0.282,1500000
bogarti01,2000,HOU,110,304,32,63,9,2,7,33,1,1,35,56,7,3,5,4,15,0.207,0.319,0.292,0.229,700000
bohanbr01,2000,COL,35,53,6,11,3,0,2,11,0,0,2,14,0,0,11,1,0,0.208,0.377,0.232,0.237,3000000
bohanbr01,2001,COL,21,31,3,10,4,0,0,3,0,0,1,7,0,0,1,0,1,0.323,0.452,0.344,0.417,4000000
bondeje01,2007,DET,28,6,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0.167,0.167,0.167,0.333,4500000
bondsba01,2000,SFN,143,480,129,147,28,4,49,106,11,3,117,77,22,3,0,7,6,0.306,0.688,0.44,0.271,10658826
bondsba01,2001,SFN,153,476,129,156,32,2,73,137,13,3,177,93,35,9,0,2,5,0.328,0.863,0.515,0.266,10300000
bondsba01,2005,SFN,14,42,8,12,1,0,5,10,0,0,9,6,3,0,0,1,0,0.286,0.667,0.404,0.219,22000000
bondsba01,2006,SFN,130,367,74,99,23,0,26,77,3,0,115,51,38,10,0,1,9,0.27,0.545,0.454,0.251,19331470
bondsba01,2007,SFN,126,340,75,94,14,0,28,66,5,0,132,54,43,3,0,2,13,0.276,0.565,0.48,0.254,15533970
bonifem01,2012,MIA,64,244,30,63,3,4,1,11,30,3,25,52,1,1,4,0,3,0.258,0.316,0.33,0.325,2200000
bonifem01,2013,TOR,94,262,33,57,16,1,3,20,12,6,13,66,0,2,3,2,3,0.218,0.321,0.258,0.277,2600000
bonilbo01,2001,SLN,93,174,17,37,7,0,5,21,1,1,23,53,3,1,0,0,4,0.213,0.339,0.308,0.276,900000
booneaa01,2002,CIN,162,606,83,146,38,2,26,87,32,8,56,111,4,10,9,4,9,0.241,0.439,0.314,0.254,2100000
booneaa01,2003,CIN,106,403,61,110,19,3,18,65,15,3,35,74,2,5,3,0,6,0.273,0.469,0.339,0.296,3700000
booneaa01,2005,CLE,143,511,61,124,19,1,16,60,9,3,35,92,3,9,4,6,16,0.243,0.378,0.299,0.264,3000000
booneaa01,2006,CLE,104,354,50,89,19,1,7,46,5,4,27,62,1,6,4,1,4,0.251,0.37,0.314,0.287,3750000
booneaa01,2007,FLO,69,189,27,54,11,0,5,28,2,0,21,41,4,13,1,4,0,0.286,0.423,0.388,0.333,925000
booneaa01,2008,WAS,104,232,23,56,13,1,6,28,0,1,18,52,1,2,1,2,8,0.241,0.384,0.299,0.284,1000000
boonebr01,2000,SDN,127,463,61,116,18,2,19,74,8,4,50,97,7,5,0,7,11,0.251,0.421,0.326,0.274,3750000
boonebr01,2002,SEA,155,608,88,169,34,3,24,107,12,5,53,102,4,6,2,6,11,0.278,0.462,0.339,0.297,8000000
boonebr01,2003,SEA,159,622,111,183,35,5,35,117,16,3,68,125,3,7,1,7,17,0.294,0.535,0.366,0.316,8000000
boonebr01,2004,SEA,148,593,74,149,30,0,24,83,10,5,56,135,2,3,2,4,18,0.251,0.423,0.317,0.285,8000000
boonebr01,2005,SEA,74,273,30,63,15,3,7,34,4,2,24,52,2,3,1,1,9,0.231,0.385,0.299,0.26,9000000
borboju01,2010,TEX,137,438,60,121,11,4,3,42,15,7,19,59,0,2,8,1,5,0.276,0.34,0.309,0.313,600000
bordimi01,2000,BAL,100,391,70,116,22,1,16,59,6,5,34,71,0,1,2,5,12,0.297,0.481,0.35,0.324,3000000
bordimi01,2001,BAL,58,229,32,57,13,0,7,30,9,3,17,36,0,6,2,3,4,0.249,0.397,0.314,0.265,4500000
bordimi01,2002,BAL,117,367,37,85,19,3,8,36,7,4,35,63,0,3,6,2,9,0.232,0.365,0.302,0.258,4873439
bordimi01,2003,TOR,102,343,39,94,18,2,5,54,3,1,33,60,0,2,0,1,8,0.274,0.382,0.34,0.319,1000000
